ID,Pregunta,Respuesta,Video
195379,Como identificar formas de cobro al realizar una venta                                                                                         TAGS: contado / transferencia / cobrar,"Este tutorial te muestra paso a paso cÃ³mo seleccionar la forma de cobro en el mÃ³dulo de ventas (efectivo, transferencia, o una combinaciÃ³n de ambas) y cÃ³mo verificar el ingreso discriminado en el mÃ³dulo de caja.",https://youtu.be/IV7d1SfsEjA
3434,"Procedimiento para cancelar impresion. (Aquí te dejo 3 palabras clave o sinónimos técnicos para buscar ""Procedimiento para cancelar impresión"":

Desactivar impresora, Cancelar impresión en espera, Cancelar impresión en cola.)","1. Ir  al escritorio principal
2. Hacer clic en [ Inicio ]
3. Ingresar en las opciones {Configuracion/Impresoras y Faxes} 
4. Haga doble clic sobre el Ã­cono de la impresora que esta haciendo o harÃ¡ la impresiÃ³n
5. luego, en el menÃº elija la opciÃ³n {Impresora/Cancelar todos los documentos}.",
3466,"Deseo un extracto financiero de Cliente. (Aquí te dejo 3 palabras clave o sinónimos técnicos para buscar ""Deseo un extracto financiero de Cliente"":

Balance, Estado de Situación, Informe Financiero)","1. Ingrese en la opciÃ³n {Movimientos/Extracto de Cliente}
2. Complete el Cliente en ambas partes
3. Luego complete el rango de la fecha deseado y haga clic en [Procesar].
4. Espere mientras se procesa y luego haga clic en [Imprimir]
5. AparecerÃ¡ la hoja de extracto por pantalla
6. Si desea imprimir presione sobre el dibujo de impresora.",https://youtu.be/b6bPk-cI6dQ
3470,"Deseo agregar un nuevo funcionario (Aquí te dejo 3 palabras clave o sinónimos técnicos para buscar ""Deseo agregar un nuevo funcionario"":

Hiring, Contratación, Recrutamiento)","1. Ingrese en la opciÃ³n {Tablas/Registrar Funcionario}
2. Designe un cÃ³digo al nuevo funcionario y despuÃ©s complete los campos de Nombre y Apellido, CÃ³digo de Cliente, etc. 
3. Cuando termine de ingresar todas las informaciones haga clic en [ Guardar ].
*****************************************************
Antes de definir un funcionario debe tener en cuenta que:
* Si va a ser vendedor definalo primero como vendedor
* Si va a retirar vales defina primero el Rubro
* Si va a trabajar con liquidacion de salario, defina primero el Rubro para pago de Salario
* Si el funcionario va a tener posibilidad de realizar creditos con la empresa entonces definalo como cliente
Estos datos seran utilizados en el momento de la definicion de Funcionario.",
3475,"Â¿ Cuanto ganÃ© esta semana ? (Aquí te dejo 3 palabras clave o sinónimos técnicos para buscar ""¿Cuánto gané esta semana?"":

Salario, ingresos, remuneración)","1. Ingrese en la opciÃ³n {Informes/Informe de Ganancia}
2. En los filtros coloque el rango de fecha deseado y luego haga clic en [Procesar]
3. Una vez consultado elija el botÃ³n de informe de acuerdo a su gusto (Ej. [Resumido por Articulo])

Tags: ganancia",
3476,"Â¿ Como se carga una compra ? (Aquí te dejo 3 palabras clave o sinónimos técnicos para buscar ""¿Cómo se carga una compra?"":

Pago, carga de compra, proceso de pago.)","1. Ingrese en la opciÃ³n {Compras/ Registrar Compras}
2. Luego haga clic en [Nuevo]. 
3. Complete los datos de DepÃ³sito, Comprobante, etc. 
4. Luego en la grilla, complete los datos de articulo (cÃ³digo, cantidad, precio, etc).
5. Una vez registrado todos los artÃ­culos haga clic en [Guardar]
6. SolicitarÃ¡ la forma de pago (si es Contado o CrÃ©dito) 
7.  Seleccione  y luego confirme.c",
3477,Deseo obtener un informe de todos los articulos que vendi a un Cliente. detallado,"tags #informe detallado 

1. Ingrese en la opciÃ³n {Movimientos/Informe de Venta detallado por articulo} 
2. Luego identifique al cliente (arriba y abajo)
3. Coloque el rango de fecha del cual desea sacar el informe Ej :[01/01/2020 al 25/10/2020]
4. Haga clic en [ Procesar ], despuÃ©s elija el boton [Articulo].",
3479,"Â¿ Como hago una venta rapida ? (tipo Supermercado) (Aquí te dejo 3 palabras clave o sinónimos técnicos para buscar:

Venta rápida, Ventas al por menor, Comercio minorista)","Link Video en Youtube:  

1. Ingrese en la opciÃ³n {Movimientos/Venta por Mostrador}
2. Introduzca el codigo de barra
3.  El cÃ³digo o la descripcion del articulo que se venderÃ¡ en el campo ArtÃ­culo
4.  Luego solicitara cantidad (si no solicita es por que esta configurado para que no pida, vea como activar)
5. Si desea cambiar el precio o cantidad presione la tecla [F2]
6. Proceda de la misma manera hasta que pase todos los articulos que desea el cliente. 
7. Una vez finalizado presione la tecla [F12] o haga clic sobre el boton [PROCESAR].",https://youtu.be/1LAHl3NuJgw
3480,"Â¿ Como hago una venta normal? (por escritorio) (Aquí te dejo 3 palabras clave o sinónimos técnicos para buscar:

Venta, negociación, prospección)","1. Ingrese en la opciÃ³n {Movimientos/ Venta por Escritorio}
2. Haga clic en [ Nuevo ]
3. Complete los datos de: Plan, Comprobante, Cliente, etc. 
4. Luego ingrese los datos a cerca de los artÃ­culos que desea vender  y haga clic en [ Guardar ]. 
5. Si venderÃ¡ a CrÃ©dito, elija la cantidad de cuotas y la fecha de vencimiento del pago
6. Luego haga clic en [CrÃ©dito].
7. Si venderÃ¡ al contado, haga clic en [Contado].",
3481,"Quiero que me permita vender con stock negativo (Aquí te dejo 3 palabras clave o sinónimos técnicos para buscar:

Vender con stock negativo, Vender con inventario negativo, Venta con saldo negativo.)","1. Ingrese en la opciÃ³n {Utilidades/Configuraciones}
2. Elija la pestaÃ±a [Venta 2] y haga clic en la opciÃ³n ""Permite venta con stock negativo"". 
3. Finalmente haga clic en [Actualizar].",
3482,Deseo saber el detalle de lo que vendÃ­ en un rango de dias.,"1. Ingrese en la opciÃ³n {Movimientos/Informe de Venta detallado por Articulo}
2. Coloque el rango de la fecha que desea saber y haga clic en [Procesar]
3. Luego elija cualquiera de los botones de consulta, por ejemplo para que el informe se detalle por [ Articulo ] o que se agrupe [Por Fecha]",
3483,"Deseo registrar los gastos que tengo. (Aquí te dejo 3 palabras clave o sinónimos técnicos para buscar:

Registro de gastos, Contabilidad personal, Gestión financiera.)","1. Ingrese en {Procesos/ Gestion de Caja/ Registra movimiento de caja} o bien puede ingresar a traves de la opcion de la barra de herramienta. 
2. Luego haga clic en el boton [ Nuevo ]
3. Complete los campos de Fecha, Operacion, Rubro, Monto,  y Observacion
4. Luego haga clic en [ Confirmar ].",
